Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C3, C4, C5, C6, C7, C8, C9",C_Disc_D5.0mm_W2.5mm_P5.00mm,10,100nF,
"C11, C14, C15, C16",C_Disc_D5.0mm_W2.5mm_P5.00mm,4,1uF,
"C12, C13",C_Disc_D5.0mm_W2.5mm_P5.00mm,2,18pF,
D1,LED_D3.0mm,1,POWER LED,
J2,DIP-16_W7.62mm_Socket_LongPads,1,KEYBOARD,
J3,DSUB-9_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,1,SERIAL (DTE),D09P33E4GX00LF
J4,BarrelJack_Horizontal,1,5V DC,
J5,KMDGX-6S-BS,1,PS/2,
J6,SWITCHCRAFT_PJRAN1X1U0XX,1,VIDEO,
"R1, R2, R3, R4, R6",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,5,1k,
R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,330,
"R7, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,820,
SW1,SW_400MSP1R6BLKM6QE,1,POWER,
U1,DIP-14_W7.62mm_Socket_LongPads,1,74LS04,
U10,DIP-40_W15.24mm_Socket_LongPads,1,ATmega1284-P,
U2,DIP-40_W15.24mm_Socket_LongPads,1,6502,
U3,DIP-40_W15.24mm_Socket_LongPads,1,65C21,
U4,DIP-28_W15.24mm_Socket_LongPads,1,AS6C62256,
U5,DIP-14_W7.62mm_Socket_LongPads,1,74LS00,
U6,DIP-16_W7.62mm_Socket_LongPads,1,74LS138,
U7,DIP-28_W15.24mm_Socket_LongPads,1,28C64,
U8,DIP-20_W7.62mm_Socket_LongPads,1,74LS245,
U9,DIP-16_W7.62mm_Socket_LongPads,1,MAX232,
Y1,Oscillator_DIP-14,1,1MHz,
Y2,Crystal_HC49-U_Vertical,1,28.636MHz,
